time,closed_price,scaled_volume_USDC,scaled_volume_WETH
2022-05-01 22:00:00,2809.707678660113,5.006520231797837e-13,1.8231803322611842e-16
2022-05-01 23:00:00,2805.7496092878105,6.412704778805038e-13,2.351851356335711e-16
2022-05-02 00:00:00,2825.116164874727,9.718216125835322e-13,2.5234375043635465e-16
2022-05-02 01:00:00,2839.471658955213,7.11235701012679e-13,1.9687059555288337e-16
2022-05-02 02:00:00,2834.2304854640997,8.788733548295732e-13,2.8831613449522164e-16
2022-05-02 03:00:00,2838.247950549144,2.262431948376036e-13,6.499453745178869e-17
2022-05-02 04:00:00,2841.258071282069,4.698731556149629e-13,1.505244507856187e-16
2022-05-02 05:00:00,2855.7510273002003,3.461530196020695e-13,7.33884296564169e-17
2022-05-02 06:00:00,2864.029627904791,2.9510172604497207e-13,7.631888288532392e-17
2022-05-02 07:00:00,2858.2491817568034,1.790452085500758e-13,8.371729358357493e-17
2022-05-02 08:00:00,2843.8867043823298,1.3147420122991164e-13,9.339765099034216e-17
2022-05-02 09:00:00,2837.172154069019,2.682972733299868e-13,1.1637153027302442e-16
2022-05-02 10:00:00,2809.628090499876,2.592109482051787e-13,1.778042261695216e-16
2022-05-02 11:00:00,2805.2914958369374,3.32063163076338e-13,1.201765800345322e-16
2022-05-02 12:00:00,2792.919102633833,2.703227212250011e-13,1.3912648056090774e-16
2022-05-02 13:00:00,2796.6447759537873,3.4486485388903916e-13,1.1195362687728714e-16
2022-05-02 14:00:00,2832.3779211080523,1.6044894179152783e-12,4.081006451499909e-16
2022-05-02 15:00:00,2825.9725814945195,9.297828078076844e-13,3.334425741808842e-16
2022-05-02 16:00:00,2825.360037582468,5.362752802725639e-13,1.925706673398293e-16
2022-05-02 17:00:00,2809.197483000021,5.444321799579989e-13,2.498739548597822e-16
2022-05-02 18:00:00,2794.0743913459028,9.254371348573073e-13,2.8020399762732005e-16
2022-05-02 19:00:00,2799.122276867378,6.322881970251715e-13,2.1046339658678997e-16
2022-05-02 20:00:00,2839.371269189952,1.4559603538429456e-12,3.3841866474584043e-16
2022-05-02 21:00:00,2828.521113798817,3.597063439964684e-13,1.620172020829974e-16
2022-05-02 22:00:00,2862.939452586648,6.657725469128205e-13,1.2034178513294419e-16
2022-05-02 23:00:00,2862.3827722634837,6.175607352108891e-13,2.1064443136506996e-16
2022-05-03 00:00:00,2856.3684286949187,4.953871586367918e-13,1.8535947832410454e-16
2022-05-03 01:00:00,2834.5193138954264,3.1746743485514936e-12,1.1430939691191286e-15
2022-05-03 02:00:00,2841.3276722416554,6.400562999563013e-13,1.9445135401678394e-16
2022-05-03 03:00:00,2838.8979091766746,2.581301133262136e-13,9.901597372647566e-17
2022-05-03 04:00:00,2849.471805037841,2.1457552041972565e-13,4.053136243153192e-17
